ID,Sport,Group,Model2_data,Cohort,Code,Age,Sex,Ethnicity,IAAF,Grade_IRCRA,Exp_yrs,Hrs_Sport,Hrs_Other,Hrs_Total,Other_List,Mass,Stature,SitHeight,ArmSpan,Tibia,TibiaHeight,ForearmL,ForeHand,Biacrom,Biiliac,ForearmC,Triceps,2D,4D,HandLength,HandBreadth,FootLength,FootBreadth,Leg,Arm,Humerus,Femur,Finger,,,,,,,,,,,,,,,,,,,,
AX-038,Control,ControlM,Yes,NA,X/m,28,Male,White,,,NA,NA,7,7,"Row, Run, Cycle",70.0,181.00,94.00,177.25,41.55,49.20,28.65,47.35,39.40,31.60,25.50,8.30,6.77,7.26,18.1,7.9,22.7,8.9,87.00,68.93,21.58,37.80,7.02,,,,,,,,,,,,,,,,,,,,
AX-039,Control,ControlF,Yes,NA,X/f,24,Female,White,,,NA,NA,12,12,"Netball, Volleyball",68.0,179.25,95.00,175.00,38.60,46.20,26.90,45.85,39.40,30.00,23.60,17.00,6.71,6.99,17.7,7.5,23.5,8.5,84.25,67.80,21.95,38.05,6.85,,,,,,,,,,,,,,,,,,,,
AR-016,Run,RunF,No,Non-elite,Rn/f,25,Female,White,573,,15,6,4,10,Cycle,52.0,171.25,89.50,169.25,38.90,46.00,26.50,44.55,35.70,29.00,21.25,10.25,6.80,6.93,16.4,7.1,22.7,8.6,81.75,66.78,22.23,35.75,6.87,,,,,,,,,,,,,,,,,,,,
AC-013,Climb,ClimbF,Yes,Elite,Ce/f,25,Female,White,,21.5,3,8,10,18,"Cycle, Row, Run",61.6,166.50,89.25,165.50,36.10,43.60,25.30,42.20,37.25,26.45,26.10,14.25,6.35,6.48,15.8,7.3,21.5,8.8,77.25,64.13,21.93,33.65,6.42,,,,,,,,,,,,,,,,,,,,
AR-017,Run,RunF,No,Non-elite,Rn/f,61,Female,White,358,,25,9,5,14,"Cycle, Gym, Swim",52.0,170.50,88.50,168.75,37.85,45.50,26.75,45.70,36.55,28.20,23.40,6.95,6.31,6.99,17.6,8.0,21.9,8.5,82.00,66.10,20.40,36.50,6.65,,,,,,,,,,,,,,,,,,,,
AR-018,Run,RunF,No,Non-elite,Rn/f,46,Female,White,324,,16,5,2,7,"Cycle, Swim, Yoga, Gym",58.7,165.50,88.00,164.50,37.05,44.05,26.30,44.50,35.65,28.35,23.55,17.80,6.27,6.56,16.3,6.6,23.1,8.4,77.50,64.43,19.93,33.45,6.42,,,,,,,,,,,,,,,,,,,,
AR-019,Run,RunM,No,Non-elite,Rn/m,48,Male,White,217,,10,2,2,4,"Cycle, Football",80.2,186.75,99.50,190.50,41.80,50.80,29.65,50.35,41.40,30.90,27.50,5.75,7.91,8.24,20.7,8.7,24.7,10.3,87.25,74.55,24.20,36.45,8.08,,,,,,,,,,,,,,,,,,,,
AR-020,Run,RunF,No,Non-elite,Rn/f,35,Female,Asian,336,,3,2,5,7,Gym,57.5,167.25,89.00,166.75,36.35,43.20,25.95,44.40,36.85,25.60,22.45,15.90,7.13,7.46,18.0,7.5,20.3,8.2,78.25,64.95,20.55,35.05,7.30,,,,,,,,,,,,,,,,,,,,
AR-021,Run,RunF,No,Non-elite,Rn/f,56,Female,White,575,,45,6,4.5,10.5,Cycle,62.8,168.25,89.25,168.00,36.10,43.85,27.60,46.00,35.10,28.00,23.45,16.35,7.35,7.36,17.2,7.4,21.0,8.0,79.00,66.45,20.45,35.15,7.36,,,,,,,,,,,,,,,,,,,,
AR-022,Run,RunM,No,Non-elite,Rn/m,20,Male,Asian,212,,5,5,5,10,Gym,65.3,173.50,93.00,174.25,37.15,45.65,27.25,46.10,39.60,28.20,25.30,7.85,7.15,7.46,18.3,8.0,22.6,8.5,80.50,67.33,21.23,34.85,7.31,,,,,,,,,,,,,,,,,,,,
AR-024,Run,RunM,No,Non-elite,Rn/m,20,Male,White,127,,2,1.5,2,3.5,Football,80.6,180.50,94.00,179.50,40.50,47.75,29.45,48.05,40.55,27.85,27.35,16.00,7.19,7.60,18.2,8.4,24.8,9.4,86.50,69.48,21.43,38.75,7.40,,,,,,,,,,,,,,,,,,,,
AR-025,Run,RunM,No,Non-elite,Rn/m,57,Male,White,123,,4,4,0,4,NONE,81.1,177.25,94.25,176.75,38.20,46.10,27.50,46.75,38.75,29.50,27.50,12.20,6.71,7.62,18.2,8.3,23.6,9.6,83.00,69.00,22.25,36.90,7.17,,,,,,,,,,,,,,,,,,,,
AR-026,Run,RunM,No,Non-elite,Rn/m,18,Male,White,8,,4,3,8,11,"Basketball, Row, Powerlift, Tabletennis",88.6,187.00,99.25,184.25,41.75,50.05,29.60,49.20,41.20,29.45,30.75,10.90,7.11,7.89,19.5,8.8,25.1,9.5,87.75,71.53,22.33,37.70,7.50,,,,,,,,,,,,,,,,,,,,
AR-027,Run,RunM,No,Non-elite,Rn/m,48,Male,White,106,,26,3,2,5,"Gym, Football",76.9,178.75,90.75,179.25,40.80,49.25,27.75,47.30,41.00,30.45,26.65,16.55,7.62,8.02,18.5,8.1,23.6,9.4,88.00,69.13,21.83,38.75,7.82,,,,,,,,,,,,,,,,,,,,
AR-028,Run,RunM,No,Non-elite,Rn/m,30,Male,White,134,,6,3,2,5,Hockey,70.8,179.50,95.00,181.25,39.90,47.90,28.75,48.20,41.75,28.90,25.80,8.30,7.50,7.66,19.0,7.9,25.4,8.3,84.50,69.75,21.55,36.60,7.58,,,,,,,,,,,,,,,,,,,,
AR-029,Run,RunM,No,Non-elite,Rn/m,60,Male,White,7,,27,8,4.5,12.5,"Cycle, Cricket, Swim",90.4,182.75,93.75,187.75,40.75,49.25,29.15,49.60,42.70,33.25,27.70,11.45,7.73,7.90,19.1,8.8,25.3,9.9,89.00,72.53,22.93,39.75,7.82,,,,,,,,,,,,,,,,,,,,
AR-030,Run,RunM,No,Non-elite,Rn/m,70,Male,White,12,,40,4.5,2.5,7,"Gym, Basketball, Football",92.7,178.50,95.75,183.00,39.10,47.45,28.00,48.00,41.85,35.00,28.75,16.10,7.22,8.26,18.8,9.1,25.9,10.3,82.75,70.58,22.58,35.30,7.74,,,,,,,,,,,,,,,,,,,,
AR-031,Run,RunM,No,Non-elite,Rn/m,40,Male,White,498,,5,5,24,29,"Cycle, Swim",71.5,172.00,91.00,170.75,37.15,45.05,26.50,44.45,40.00,31.00,28.70,4.40,6.70,7.30,17.3,8.1,22.3,9.4,81.00,65.38,20.93,35.95,7.00,,,,,,,,,,,,,,,,,,,,
AR-032,Run,RunF,No,Non-elite,Rn/f,22,Female,White,674,,3,15,15,30,"Cycle, Walk",48.7,169.25,90.50,163.00,37.35,44.35,26.45,44.35,34.00,28.10,21.30,7.85,6.46,6.69,17.2,6.7,21.7,8.1,78.75,64.50,20.15,34.40,6.58,,,,,,,,,,,,,,,,,,,,
AR-033,Run,RunM,No,Non-elite,Rn/m,26,Male,Asian,310,,2,5,6,11,"Swim, Yoga, Gym",72.3,179.50,94.50,176.00,39.90,46.55,27.10,46.25,41.50,29.75,27.45,5.65,6.86,7.29,18.6,8.0,23.1,8.8,85.00,67.25,21.00,38.45,7.08,,,,,,,,,,,,,,,,,,,,
AR-034,Run,RunM,No,Non-elite,Rn/m,42,Male,White,684,,6,5,0,5,NONE,73.2,183.00,96.25,185.75,40.25,48.95,29.75,48.85,42.65,29.65,26.75,9.30,7.10,7.53,18.8,8.6,26.3,10.0,86.75,71.55,22.70,37.80,7.32,,,,,,,,,,,,,,,,,,,,
AR-035,Run,RunM,No,Non-elite,Rn/m,58,Male,White,207,,45,12,6,18,"Gym, Row, Cycle",74.7,180.50,92.75,185.00,40.80,48.65,29.70,49.10,41.90,30.20,26.40,10.00,7.47,7.70,19.1,8.4,23.9,10.0,87.75,71.55,22.45,39.10,7.59,,,,,,,,,,,,,,,,,,,,Elite runners
AR-036,Run,RunF,No,Non-elite,Rn/f,62,Female,White,384,,12,2,5,7,"Yoga, Gym",58.2,164.25,86.50,164.75,36.25,43.15,25.80,42.95,36.45,29.25,23.15,12.85,7.36,7.54,17.2,7.6,19.3,8.6,77.75,64.15,21.20,34.60,7.45,,,,,,,,,,,,,,,,,,,,
AR-037,Run,RunF,No,Non-elite,Rn/f,37,Female,White,340,,12,2,1,3,Swim,61.7,167.00,91.00,166.00,35.30,42.65,26.00,44.50,35.45,31.40,23.25,18.40,6.79,7.15,17.7,7.9,20.4,8.4,76.00,65.28,20.78,33.35,6.97,,,,,,,,,,,,,,,,,,,,
AR-038,Run,RunF,No,Non-elite,Rn/f,22,Female,White,518,,15,4,4,8,"Yoga, Row",61.2,163.00,89.00,165.25,34.15,41.00,26.30,43.45,36.20,27.70,23.25,14.80,6.36,6.75,16.8,7.2,19.9,8.5,74.00,64.53,21.08,33.00,6.56,,,,,,,,,,,,,,,,,,,,
AR-039,Run,RunM,No,Non-elite,Rn/m,41,Male,White,45,,1,3,1,4,Gym,72.1,173.50,90.50,177.50,38.90,47.40,28.10,46.90,40.30,27.95,26.10,10.10,6.76,6.60,17.3,8.0,22.6,9.1,83.00,68.60,21.70,35.60,6.68,,,,,,,,,,,,,,,,,,,,
AC-014,Climb,ClimbM,No,Non-elite,Cn/m,27,Male,Asian,,16.5,8,0.5,5,5.5,Powerlift,88.2,182.00,95.75,187.00,40.00,48.00,29.55,48.65,42.40,30.45,29.75,16.10,6.98,7.76,19.0,9.0,22.3,9.7,86.25,72.30,23.65,38.25,7.37,,,,,,,,,,,,,,,,,,,,
AR-040,Run,RunF,No,Non-elite,Rn/f,49,Female,Asian,373,,11,4.5,1,5.5,Horseriding,49.6,162.00,83.00,173.00,37.15,44.25,27.55,45.65,36.35,24.00,22.65,6.75,6.78,7.51,17.9,8.1,20.7,8.4,79.00,68.33,22.68,34.75,7.15,,,,,,,,,,,,,,,,,,,,
AC-015,Climb,ClimbM,No,Non-elite,Cn/m,36,Male,White,,18,2,6,5,11,"Cycle, Run, Swim",84.3,197.00,101.00,195.00,45.35,54.50,31.30,53.60,37.40,31.25,28.55,8.35,8.42,8.44,21.5,8.8,25.6,9.7,96.00,78.80,25.20,41.50,8.43,,,,,,,,,,,,,,,,,,,,
AR-041,Run,RunM,No,Non-elite,Rn/m,53,Male,White,11,,15,2,0,2,NONE,79.2,188.25,96.00,185.25,42.05,50.45,29.15,49.55,40.85,31.00,28.15,10.35,7.51,7.66,19.8,8.5,25.1,8.8,92.25,72.20,22.65,41.80,7.59,,,,,,,,,,,,,,,,,,,,
AR-042,Run,RunF,No,Non-elite,Rn/f,53,Female,White,262,,15,2.5,3,5.5,"Pilates, Swim",61.6,170.00,92.00,176.50,36.85,44.25,27.10,46.90,38.45,28.00,24.15,20.75,7.46,7.83,19.2,8.0,23.1,9.4,78.00,69.03,22.13,33.75,7.65,,,,,,,,,,,,,,,,,,,,
AC-016,Climb,ClimbM,No,Non-elite,Cn/m,27,Male,White,,22.5,5,9,1,10,"Run, Cycle",73.8,178.75,95.00,181.25,39.05,47.90,28.10,47.80,41.20,28.40,28.65,11.20,7.29,7.50,18.9,8.9,22.6,9.7,83.75,70.03,22.23,35.85,7.40,,,,,,,,,,,,,,,,,,,,
AR-044,Run,RunM,No,Non-elite,Rn/m,50,Male,White,11,,9,2,2,4,Gym,79.0,181.00,96.00,180.50,40.00,47.75,28.15,47.40,41.00,29.60,25.85,8.50,6.61,7.16,18.2,8.3,23.6,9.5,85.00,69.75,22.35,37.25,6.89,,,,,,,,,,,,,,,,,,,,
AR-045,Run,RunF,No,Non-elite,Rn/f,47,Female,White,464,,25,3.5,3,6.5,Gym,66.7,171.50,92.25,167.50,38.85,45.75,26.50,44.45,37.00,29.40,25.50,14.95,6.54,6.63,17.0,8.1,22.5,8.8,79.25,65.25,20.80,33.50,6.59,,,,,,,,,,,,,,,,,,,,
AR-046,Run,RunM,No,Non-elite,Rn/m,19,Male,White,235,,2,5,5,10,Gym,69.5,176.00,95.50,179.00,37.70,45.40,27.40,46.85,41.35,28.35,27.80,13.20,7.32,7.60,19.3,8.4,22.5,9.0,80.50,68.83,21.98,35.10,7.46,,,,,,,,,,,,,,,,,,,,
AX-040,Control,ControlF,Yes,NA,X/f,25,Female,Mixed,,,NA,NA,3,3,Gym,50.9,169.00,93.25,163.00,35.85,42.90,25.35,43.45,33.70,28.00,22.20,13.40,7.12,7.22,17.5,7.5,22.5,8.0,75.75,64.65,21.20,32.85,7.17,,,,,,,,,,,,,,,,,,,,
AR-047,Run,RunM,No,Non-elite,Rn/m,24,Male,White,341,,4,4,5,9,Row,66.4,173.00,94.50,171.00,36.70,44.50,26.50,44.95,38.90,25.50,25.60,10.30,7.04,7.01,17.6,7.9,23.2,8.6,78.50,66.05,21.10,34.00,7.03,,,,,,,,,,,,,,,,,,,,
AR-048,Run,RunF,No,Non-elite,Rn/f,43,Female,Other,391,,8,3,1,4,"Cycle, Swim",67.7,168.00,88.75,175.75,36.65,43.60,27.70,46.85,37.95,28.80,24.70,22.55,7.45,7.66,18.2,7.7,21.0,8.7,79.25,68.90,22.05,35.65,7.56,,,,,,,,,,,,,,,,,,,,
AR-049,Run,RunM,No,Non-elite,Rn/m,55,Male,White,98,,4,8,0,8,NONE,82.6,183.25,93.00,184.50,41.70,49.85,28.15,48.10,41.25,30.40,24.55,12.10,7.57,7.62,18.6,8.1,25.0,10.1,90.25,71.63,23.53,40.40,7.59,,,,,,,,,,,,,,,,,,,,
AR-050,Run,RunF,No,Non-elite,Rn/f,41,Female,White,513,,7,7,7,14,Boxing,59.2,162.25,86.75,154.50,35.40,42.35,24.45,42.60,34.10,28.00,22.75,20.90,7.10,7.31,17.4,8.0,21.8,9.1,75.50,60.20,17.60,33.15,7.20,,,,,,,,,,,,,,,,,,,,
AR-051,Run,RunM,No,Non-elite,Rn/m,40,Male,White,678,,15,8,2,10,Cycle,57.2,164.50,87.00,161.75,35.75,43.20,25.85,42.70,36.25,26.00,25.20,7.25,6.54,6.87,17.0,8.6,21.2,9.2,77.50,62.75,20.05,34.30,6.70,,,,,,,,,,,,,,,,,,,,
AC-017,Climb,ClimbF,No,Non-elite,Cn/f,20,Female,White,,20,9,8,3,11,"Cycle, Run, Swim",55.7,167.25,89.25,160.00,35.90,43.85,24.70,42.20,37.05,25.40,23.25,12.70,6.65,6.94,16.8,7.1,20.9,8.8,78.00,61.48,19.28,34.15,6.79,,,,,,,,,,,,,,,,,,,,
AC-018,Climb,ClimbF,No,Non-elite,Cn/f,35,Female,White,,18,5,4,0,4,NONE,51.2,157.00,86.00,153.25,33.50,40.15,24.45,40.05,35.10,26.00,23.25,11.80,6.19,6.38,15.6,7.3,20.0,8.1,71.00,59.08,19.03,30.85,6.28,,,,,,,,,,,,,,,,,,,,
AC-019,Climb,ClimbM,No,Non-elite,Cn/m,28,Male,White,,16.5,4,5,2,7,"Cycle, Walk",66.3,184.00,97.25,184.00,40.25,48.00,28.35,47.25,40.15,29.70,25.80,7.40,7.24,7.41,18.0,7.8,21.5,8.9,86.75,71.93,24.68,38.75,7.33,,,,,,,,,,,,,,,,,,,,
AR-052,Run,RunM,No,Non-elite,Rn/m,45,Male,White,645,,15,8,2.5,10.5,"Cycle, Swim",82.1,189.50,98.00,190.00,42.70,51.10,30.50,50.65,41.60,28.20,28.30,5.80,7.36,8.21,19.7,9.6,26.6,10.9,91.50,74.20,23.55,40.40,7.78,,,,,,,,,,,,,,,,,,,,Runners at Bedford
AC-020,Climb,ClimbM,No,Non-elite,Cn/m,32,Male,Mixed,,21.5,5,6,6,12,Gym,71.0,175.00,91.75,174.25,39.60,47.75,27.15,45.95,39.15,28.45,29.05,8.30,6.85,7.23,18.1,8.6,22.3,9.6,83.25,67.55,21.60,35.50,7.04,,,,,,,,,,,,,,,,,,,,
AR-053,Run,RunM,Yes,Elite,Re/m,27,Male,White,880,,5,12,4,16,"Cycle, Swim",72.6,190.50,97.50,193.00,42.85,51.90,30.85,52.05,40.55,30.15,25.15,4.10,7.82,8.48,20.5,8.6,25.7,10.0,93.00,76.23,24.18,41.10,8.15,,,,,,,,,,,,,,,,,,,,
AR-054,Run,RunF,No,Non-elite,Rn/f,21,Female,White,604,,9,2.5,0.5,3,Swim,52.3,164.25,84.00,167.50,37.35,44.05,26.50,44.10,37.00,26.45,21.95,14.90,6.35,6.62,16.9,7.5,21.4,8.0,80.25,65.25,21.15,36.20,6.49,,,,,,,,,,,,,,,,,,,,
AR-055,Sprint,SprintF,Yes,Elite,RSe/f,19,Female,White,839,,10,10,2,12,Football,57.2,165.00,89.50,163.50,35.70,43.00,24.90,42.75,35.65,27.35,22.05,11.85,6.73,6.86,17.4,7.6,21.7,8.0,75.50,63.93,21.18,32.50,6.79,,,,,,,,,,,,,,,,,,,,
AR-056,Sprint,SprintM,Yes,Elite,RSe/m,23,Male,Black,931,,9,7.5,1,8.5,Basketball,80.1,176.50,90.75,192.25,40.80,48.70,30.50,50.60,42.60,27.70,28.45,4.30,7.20,8.00,19.7,8.7,24.8,9.7,85.75,74.83,24.23,37.05,7.60,,,,,,,,,,,,,,,,,,,,
AC-021,Climb,ClimbM,No,Non-elite,Cn/m,31,Male,Asian,,20,4.5,6,1.5,7.5,"Football, Gym",61.9,172.50,89.50,176.00,38.50,45.70,28.45,46.70,39.15,26.60,25.45,9.15,7.24,7.52,18.4,8.3,23.1,9.1,83.00,68.43,21.73,37.30,7.38,,,,,,,,,,,,,,,,,,,,
AR-057,Sprint,SprintM,Yes,Elite,RSe/m,18,Male,White,851,,4,8,1,9,Hockey,67.2,176.00,94.00,181.75,38.95,46.45,27.70,47.60,39.45,27.30,27.15,6.65,7.16,7.16,19.1,8.6,23.8,8.8,82.00,71.15,23.55,35.55,7.16,,,,,,,,,,,,,,,,,,,,
AR-058,Run,RunF,Yes,Elite,Re/f,20,Female,White,723,,10,7,3,10,"Swim, Cycle",59.2,172.25,86.00,174.75,39.80,47.80,27.10,45.60,37.75,27.65,22.45,14.10,7.20,6.91,17.3,7.8,22.5,9.7,86.25,68.50,22.90,38.45,7.06,,,,,,,,,,,,,,,,,,,,
AR-059,Run,RunF,Yes,Elite,Re/f,23,Female,White,977,,7,6,5,11,"Gym, Cycle",50.6,155.75,82.50,154.50,33.00,40.20,24.35,42.00,33.80,25.45,22.35,7.90,6.46,6.69,16.1,7.0,20.1,8.1,73.25,60.35,18.35,33.05,6.57,,,,,,,,,,,,,,,,,,,,
AR-060,Run,RunF,Yes,Elite,Re/f,20,Female,White,1011,,9,4,7,11,"Cycle, Swim, Gym",57.9,163.00,86.00,163.75,36.50,43.50,25.60,42.40,33.95,25.50,23.35,16.90,6.63,6.48,16.6,7.5,20.1,8.1,77.00,64.90,22.50,33.50,6.55,,,,,,,,,,,,,,,,,,,,
AR-061,Sprint,SprintM,Yes,Elite,RSe/m,19,Male,White,760,,11,7,5,12,"Hockey, Football",75.1,185.00,98.00,189.00,41.40,49.45,30.15,49.75,42.70,27.60,27.00,7.25,7.23,7.35,18.5,8.2,23.4,8.6,87.00,73.15,23.40,37.55,7.29,,,,,,,,,,,,,,,,,,,,
AR-062,Run,RunF,Yes,Elite,Re/f,31,Female,Mixed,797,,10,10,1,11,Cycle,49.2,163.50,90.00,162.00,34.15,41.10,25.75,42.25,35.85,29.00,20.90,6.45,6.45,6.61,16.2,7.0,19.9,8.1,73.50,63.08,20.83,32.40,6.53,,,,,,,,,,,,,,,,,,,,
AR-063,Run,RunM,Yes,Elite,Re/m,34,Male,White,883,,18,10,0.5,10.5,Gym,80.8,183.75,97.50,188.75,40.60,49.05,30.50,50.20,41.30,30.00,26.75,8.65,7.47,7.45,20.0,8.5,23.8,10.2,86.25,73.73,23.53,37.20,7.46,,,,,,,,,,,,,,,,,,,,
AX-041,Control,ControlM,Yes,NA,X/m,33,Male,White,,,NA,NA,3,3,"Run, Climb",84.7,182.50,98.00,188.25,39.25,49.05,28.65,49.10,43.60,28.80,29.00,8.15,7.38,8.09,20.1,9.3,22.7,9.5,84.50,72.33,23.23,35.45,7.73,,,,,,,,,,,,,,,,,,,,
AR-064,Run,RunM,No,Non-elite,Rn/m,27,Male,Other,512,,5,6,3,9,"Cycle, Swim, Freedive",72.6,169.75,87.75,174.75,39.55,46.60,27.25,45.45,40.70,27.10,25.45,9.00,6.65,7.32,17.7,8.3,21.6,9.9,82.00,67.03,21.58,35.40,6.99,,,,,,,,,,,,,,,,,,,,
AR-065,Run,RunM,No,Non-elite,Rn/m,36,Male,White,581,,1.5,6,2,8,Cycle,76.1,185.75,97.25,188.00,40.70,49.50,29.20,49.25,40.15,28.55,28.75,5.55,7.59,8.03,18.9,8.5,24.5,10.4,88.50,73.93,24.68,39.00,7.81,,,,,,,,,,,,,,,,,,,,
AX-042,Control,ControlM,Yes,NA,X/m,27,Male,White,,,NA,NA,4,4,"Gym, Climb",66.9,182.00,98.00,178.50,39.85,47.85,28.60,48.10,39.65,28.70,26.40,4.25,7.76,7.86,18.6,8.0,25.5,9.5,84.00,69.43,21.33,36.15,7.81,,,,,,,,,,,,,,,,,,,,
AC-022,Climb,ClimbM,No,Non-elite,Cn/m,25,Male,White,,17,2,9,3,12,"Run, Gym, Row",79.8,182.50,95.75,188.50,39.75,47.95,29.00,49.35,42.80,28.80,29.10,7.35,8.00,7.90,19.4,8.6,24.6,10.0,86.75,72.85,23.50,38.80,7.95,,,,,,,,,,,,,,,,,,,,
AR-066,Run,RunF,Yes,Elite,Re/f,32,Female,White,707,,10,4,1,5,"Climb, Ski, Hike",58.3,163.75,91.00,162.00,34.35,42.25,25.10,43.35,36.60,27.30,22.70,14.70,7.25,7.14,17.0,7.5,21.0,8.9,72.75,62.70,19.35,30.50,7.20,,,,,,,,,,,,,,,,,,,,
AR-067,Run,RunM,Yes,Elite,Re/m,20,Male,Mixed,902,,5,10,3,13,"Cycle, Swim",62.1,173.50,92.50,178.75,37.90,45.60,28.55,47.35,37.50,25.50,24.90,5.80,7.20,7.00,17.7,7.9,22.0,9.8,81.00,70.63,23.28,35.40,7.10,,,,,,,,,,,,,,,,,,,,
AC-023,Climb,ClimbF,Yes,Elite,Ce/f,20,Female,White,,24,15,10,0,10,NONE,55.6,161.50,87.00,162.05,35.55,43.50,24.65,41.80,36.75,25.80,24.50,12.35,6.80,6.98,16.6,7.6,20.1,9.1,74.50,62.65,20.85,31.00,6.89,,,,,,,,,,,,,,,,,,,,
AR-068,Run,RunF,Yes,Elite,Re/f,37,Female,White,953,,15,8,2,10,Gym,61.9,169.25,91.50,168.75,35.65,44.15,27.35,46.10,37.55,29.20,24.40,12.05,7.15,7.16,17.7,7.5,23.2,8.4,77.75,65.60,19.50,33.60,7.16,,,,,,,,,,,,,,,,,,,,
