"Model_name","Parameter","rhat","ess_bulk"
"m1_PC1.Eth","z[1]",1.00039724954628,6974.64554858437
"m1_PC1.Eth","z[2]",1.00058941570419,8938.74220463871
"m1_PC1.Eth","z[3]",1.00016719390274,8862.3580278919
"m1_PC1.Eth","z[4]",1.00076989132491,12077.3480187977
"m1_PC1.Eth","a",1.00063085328903,6615.44404554658
"m1_PC1.Eth","b[1]",1.00003588047473,17898.4854671462
"m1_PC1.Eth","b[2]",1.00024188921661,18863.6785543809
"m1_PC1.Eth","b[3]",1.00055713241042,16868.1878884755
"m1_PC1.Eth","b[4]",1.00017521696496,17721.8823087241
"m1_PC1.Eth","sigma_y",1.00008494672463,5257.88989355816
"m1_PC1.Eth","sigma",1.00015268931043,17476.9464957257
"m1_PC1.Eth","y[1]",1.00066360954856,6807.55789091446
"m1_PC1.Eth","y[2]",1.00070208125116,7014.85212303035
"m1_PC1.Eth","y[3]",1.00016653863347,8636.35731804949
"m1_PC1.Eth","y[4]",1.0006055899121,10913.2830283904
"m1_Stature.Eth","z[1]",1.00033969822927,6427.77191989586
"m1_Stature.Eth","z[2]",1.00041307473735,7668.36337813886
"m1_Stature.Eth","z[3]",1.00018484190004,8677.00322375928
"m1_Stature.Eth","z[4]",1.00019235013163,12214.5304155035
"m1_Stature.Eth","a",1.00040517590812,5933.17011552574
"m1_Stature.Eth","b[1]",1.000208259693,17166.7504652303
"m1_Stature.Eth","b[2]",1.00017070337383,18481.7426672677
"m1_Stature.Eth","b[3]",1.00005883008306,18358.1363425498
"m1_Stature.Eth","b[4]",1.0000476752612,17885.876442484
"m1_Stature.Eth","sigma_y",1.00047145533079,4297.05830525488
"m1_Stature.Eth","sigma",1.00021442511397,16354.2461754086
"m1_Stature.Eth","y[1]",1.00049583273027,6052.57257412849
"m1_Stature.Eth","y[2]",1.00039924558892,6186.65093041296
"m1_Stature.Eth","y[3]",1.00023451473871,7936.70326905624
"m1_Stature.Eth","y[4]",0.999984910305551,10477.4438936145
"m1_SitHeight.Eth","z[1]",1.00098569599107,7373.51208992315
"m1_SitHeight.Eth","z[2]",1.00006490839601,8691.75340068071
"m1_SitHeight.Eth","z[3]",1.0017525863332,8803.25129967936
"m1_SitHeight.Eth","z[4]",0.999877884017637,11488.4148228171
"m1_SitHeight.Eth","a",1.00114375960152,6992.28773103174
"m1_SitHeight.Eth","b[1]",1.00070925281584,16177.249536207
"m1_SitHeight.Eth","b[2]",1.00088487310053,17338.2207400791
"m1_SitHeight.Eth","b[3]",1.00029616916237,15653.6636973964
"m1_SitHeight.Eth","b[4]",1.00030280981899,16547.005096971
"m1_SitHeight.Eth","sigma_y",1.00123773910232,4487.71752434599
"m1_SitHeight.Eth","sigma",1.00026046141741,14736.7581984141
"m1_SitHeight.Eth","y[1]",1.00103065160095,7048.03447845637
"m1_SitHeight.Eth","y[2]",1.00074912449879,7236.56588504504
"m1_SitHeight.Eth","y[3]",1.00098874872513,9188.99547874508
"m1_SitHeight.Eth","y[4]",1.00025431994294,10897.4436368333
"m1_ArmSpan.Eth","z[1]",1.00014748585395,7297.90512380606
"m1_ArmSpan.Eth","z[2]",1.00061725301451,9768.25079644257
"m1_ArmSpan.Eth","z[3]",0.999999258311354,9623.34248254029
"m1_ArmSpan.Eth","z[4]",1.00020556198256,11878.1333925136
"m1_ArmSpan.Eth","a",1.00021339931339,7387.24893345437
"m1_ArmSpan.Eth","b[1]",1.00090122077645,16738.0373506365
"m1_ArmSpan.Eth","b[2]",1.00024337668094,16221.1821436104
"m1_ArmSpan.Eth","b[3]",1.00011337662249,17051.4526562894
"m1_ArmSpan.Eth","b[4]",1.00012349468418,16464.7852770851
"m1_ArmSpan.Eth","sigma_y",1.00047133969732,5302.95703685502
"m1_ArmSpan.Eth","sigma",0.999980552841672,14881.5242545286
"m1_ArmSpan.Eth","y[1]",1.00034510942385,7447.19653456931
"m1_ArmSpan.Eth","y[2]",1.000190477998,7383.42226347879
"m1_ArmSpan.Eth","y[3]",0.999975823642492,9199.35504972586
"m1_ArmSpan.Eth","y[4]",0.999982434702939,11718.7935706953
"m1_Leg.Eth","z[1]",1.00003336818909,6404.84949387224
"m1_Leg.Eth","z[2]",1.00013350345224,8501.30327825389
"m1_Leg.Eth","z[3]",1.00008974567897,8816.48545224505
"m1_Leg.Eth","z[4]",1.00008727634537,12235.73645473
"m1_Leg.Eth","a",1.00005006754119,6269.86872805366
"m1_Leg.Eth","b[1]",1.00046144898999,17758.4532662909
"m1_Leg.Eth","b[2]",1.00028915468071,17937.902217894
"m1_Leg.Eth","b[3]",1.0001336432079,18800.5049764369
"m1_Leg.Eth","b[4]",1.00040902775235,18318.5876041173
"m1_Leg.Eth","sigma_y",1.00026852631174,6335.90955424094
"m1_Leg.Eth","sigma",1.00008653483354,16166.9175288916
"m1_Leg.Eth","y[1]",1.00003631198472,6435.15079825899
"m1_Leg.Eth","y[2]",1.00023868923255,7289.25426272469
"m1_Leg.Eth","y[3]",1.00004493903625,8547.2261254926
"m1_Leg.Eth","y[4]",1.00027929633062,11873.1652726833
"m1_Femur.Eth","z[1]",1.00048810110292,7059.74057205051
"m1_Femur.Eth","z[2]",1.00035093889292,7913.73484094677
"m1_Femur.Eth","z[3]",1.00004091977667,8599.98756673601
"m1_Femur.Eth","z[4]",1.00005898177455,11641.8952082283
"m1_Femur.Eth","a",1.00047908092091,6900.06877218919
"m1_Femur.Eth","b[1]",1.00071145262447,16708.9468486376
"m1_Femur.Eth","b[2]",1.00043439019007,14586.2625189787
"m1_Femur.Eth","b[3]",1.00017349554504,15538.1657640802
"m1_Femur.Eth","b[4]",1.00030522025309,15018.5705965172
"m1_Femur.Eth","sigma_y",0.999992578893448,5239.5906854844
"m1_Femur.Eth","sigma",1.0007864094883,13936.5458340063
"m1_Femur.Eth","y[1]",1.00034743295375,6945.5051622494
"m1_Femur.Eth","y[2]",1.00029120554068,7986.88214843658
"m1_Femur.Eth","y[3]",1.00015494264012,8175.79163918264
"m1_Femur.Eth","y[4]",1.00001423310634,11443.5038851851
"m1_Tibia.Eth","z[1]",1.0004872997156,6762.31791704562
"m1_Tibia.Eth","z[2]",1.00009623686892,8593.14444801592
"m1_Tibia.Eth","z[3]",1.00048855136415,8635.0111494261
"m1_Tibia.Eth","z[4]",1.00055010572371,13012.3215506573
"m1_Tibia.Eth","a",1.00041368907291,6603.88039907246
"m1_Tibia.Eth","b[1]",1.00012254776282,16950.2533157756
"m1_Tibia.Eth","b[2]",0.999919153884248,17063.1313087092
"m1_Tibia.Eth","b[3]",1.00021281919809,17857.2399168886
"m1_Tibia.Eth","b[4]",1.00057525852825,16339.0181795829
"m1_Tibia.Eth","sigma_y",1.00104313172746,4416.884548887
"m1_Tibia.Eth","sigma",1.000131078881,15798.7568173453
"m1_Tibia.Eth","y[1]",1.00023679700682,6615.64566001607
"m1_Tibia.Eth","y[2]",1.00031836045377,6994.97876336668
"m1_Tibia.Eth","y[3]",1.00001271602874,8032.68096666918
"m1_Tibia.Eth","y[4]",1.00024801596574,11252.4369763018
"m1_Arm.Eth","z[1]",1.0003488700064,5971.63971360115
"m1_Arm.Eth","z[2]",1.00023218492195,6969.08813902332
"m1_Arm.Eth","z[3]",1.00027860190113,7773.21595291195
"m1_Arm.Eth","z[4]",0.999886929925981,11112.5370477097
"m1_Arm.Eth","a",1.00036635921326,5884.28276416616
"m1_Arm.Eth","b[1]",1.0004285198859,16040.8773283261
"m1_Arm.Eth","b[2]",1.0000939278528,13976.7557594542
"m1_Arm.Eth","b[3]",0.999972059782529,17323.7786148252
"m1_Arm.Eth","b[4]",1.00027411054973,17126.4618374215
"m1_Arm.Eth","sigma_y",1.00101624887267,3780.34983600354
"m1_Arm.Eth","sigma",1.00036293959838,14118.4203723387
"m1_Arm.Eth","y[1]",1.00029101531404,5938.9033018385
"m1_Arm.Eth","y[2]",1.00028066790127,6082.88549061915
"m1_Arm.Eth","y[3]",1.00043253294741,7106.32803355099
"m1_Arm.Eth","y[4]",0.999936730960099,10674.1606173863
"m1_Humerus.Eth","z[1]",1.00031843506256,7753.40804216586
"m1_Humerus.Eth","z[2]",1.00066922630658,8701.30671561725
"m1_Humerus.Eth","z[3]",1.00036475919075,9138.22508957584
"m1_Humerus.Eth","z[4]",1.0001949136051,12469.3039074672
"m1_Humerus.Eth","a",1.00037753802129,7256.26129090066
"m1_Humerus.Eth","b[1]",1.0002696443644,17591.3597059889
"m1_Humerus.Eth","b[2]",1.00013984169854,16449.1467486958
"m1_Humerus.Eth","b[3]",1.00005450933136,16097.9953656897
"m1_Humerus.Eth","b[4]",1.00063578995383,16097.3286908632
"m1_Humerus.Eth","sigma_y",1.00049816331831,4395.94971172957
"m1_Humerus.Eth","sigma",1.0002421102446,12774.1455909804
"m1_Humerus.Eth","y[1]",1.00015053356612,7341.8979970316
"m1_Humerus.Eth","y[2]",1.00047219114419,7239.02675578293
"m1_Humerus.Eth","y[3]",1.00030541114218,8071.09440531954
"m1_Humerus.Eth","y[4]",1.00007019425797,11303.4548272075
"m1_ForearmL.Eth","z[1]",1.00028147273261,7561.67084438946
"m1_ForearmL.Eth","z[2]",1.00018841266566,8821.63565864254
"m1_ForearmL.Eth","z[3]",0.999969915592876,9265.38282662822
"m1_ForearmL.Eth","z[4]",1.00017494358051,12619.0116720974
"m1_ForearmL.Eth","a",1.0006940039073,7207.30287543001
"m1_ForearmL.Eth","b[1]",1.000268080777,16609.9495330391
"m1_ForearmL.Eth","b[2]",1.0005667244159,15530.7003876235
"m1_ForearmL.Eth","b[3]",1.00025020419649,16802.2538586121
"m1_ForearmL.Eth","b[4]",1.00015547427161,17861.1688761171
"m1_ForearmL.Eth","sigma_y",1.00093947932373,4478.94735243441
"m1_ForearmL.Eth","sigma",1.00006092800292,14840.680705128
"m1_ForearmL.Eth","y[1]",1.00073298710719,7379.58854499435
"m1_ForearmL.Eth","y[2]",1.00002720311373,7279.7016743663
"m1_ForearmL.Eth","y[3]",1.00057390536503,7416.92192955558
"m1_ForearmL.Eth","y[4]",1.0001342379052,11903.5154536328
"m1_FootLength.Eth","z[1]",1.00066382912156,5869.35781906776
"m1_FootLength.Eth","z[2]",1.0001400369793,8080.89660075682
"m1_FootLength.Eth","z[3]",1.00032531143059,8123.73641270369
"m1_FootLength.Eth","z[4]",1.00018462162955,10239.8244558604
"m1_FootLength.Eth","a",1.0005073150082,6117.09020730593
"m1_FootLength.Eth","b[1]",1.0005706642095,15945.0077936667
"m1_FootLength.Eth","b[2]",1.00056815958634,14858.0077662707
"m1_FootLength.Eth","b[3]",0.999896722427815,15157.5977829402
"m1_FootLength.Eth","b[4]",1.00026954385911,17144.6031989821
"m1_FootLength.Eth","sigma_y",0.999994045809495,5296.5659464203
"m1_FootLength.Eth","sigma",1.00000266534391,15472.1145860688
"m1_FootLength.Eth","y[1]",1.00051352504438,6299.50398164721
"m1_FootLength.Eth","y[2]",1.00027245089383,6261.01286310413
"m1_FootLength.Eth","y[3]",1.00018034072209,8702.11588520997
"m1_FootLength.Eth","y[4]",1.00014882079487,9539.53523694752
"m1_FootBreadth.Eth","z[1]",1.00053774376017,6508.90134094108
"m1_FootBreadth.Eth","z[2]",1.0004131920718,7815.23255088488
"m1_FootBreadth.Eth","z[3]",1.00096953348176,7501.06761720641
"m1_FootBreadth.Eth","z[4]",1.00091673744232,11706.6293572109
"m1_FootBreadth.Eth","a",1.0002473565162,5985.36296460534
"m1_FootBreadth.Eth","b[1]",1.00038587886783,15583.208709376
"m1_FootBreadth.Eth","b[2]",1.00022941213761,16666.1772577707
"m1_FootBreadth.Eth","b[3]",1.00032702110818,15803.3178262725
"m1_FootBreadth.Eth","b[4]",1.00036877183067,15592.6315812863
"m1_FootBreadth.Eth","sigma_y",1.00201729576042,3715.43364710046
"m1_FootBreadth.Eth","sigma",1.00021785286284,15139.0720732615
"m1_FootBreadth.Eth","y[1]",1.00022047424947,6168.67336863327
"m1_FootBreadth.Eth","y[2]",1.00131005872427,5972.98178066791
"m1_FootBreadth.Eth","y[3]",1.00022795630112,7626.83638831994
"m1_FootBreadth.Eth","y[4]",1.00020763410535,10680.0722355184
"m1_HandLength.Eth","z[1]",1.0005448060237,7590.8161915407
"m1_HandLength.Eth","z[2]",1.00074000307861,8374.97405360596
"m1_HandLength.Eth","z[3]",1.00031359390108,8986.73325869403
"m1_HandLength.Eth","z[4]",1.00028031282506,12377.9857904726
"m1_HandLength.Eth","a",1.0003729057609,7165.59857918877
"m1_HandLength.Eth","b[1]",1.0004888050554,16258.0918573411
"m1_HandLength.Eth","b[2]",1.000540027821,17095.8987241226
"m1_HandLength.Eth","b[3]",1.00037236270667,17244.7362335971
"m1_HandLength.Eth","b[4]",1.00007602573778,17055.5367885959
"m1_HandLength.Eth","sigma_y",1.00109327854078,4267.26741644304
"m1_HandLength.Eth","sigma",1.00087868419712,14668.6398039237
"m1_HandLength.Eth","y[1]",1.00051664762711,7307.49015801279
"m1_HandLength.Eth","y[2]",1.00059995278593,6715.24812999789
"m1_HandLength.Eth","y[3]",1.00023700950813,8467.99253251943
"m1_HandLength.Eth","y[4]",1.00033195669488,11241.808840745
"m1_HandBreadth.Eth","z[1]",1.00023820068229,7490.54305082677
"m1_HandBreadth.Eth","z[2]",1.00011757348202,9118.84931169458
"m1_HandBreadth.Eth","z[3]",1.00029204418918,9173.9832536381
"m1_HandBreadth.Eth","z[4]",1.00046550162061,13134.5915410952
"m1_HandBreadth.Eth","a",1.00029990819672,7098.65182515167
"m1_HandBreadth.Eth","b[1]",1.0005635701117,20094.8377746648
"m1_HandBreadth.Eth","b[2]",1.00006128731953,19859.3420008619
"m1_HandBreadth.Eth","b[3]",1.0000347632029,19138.6946039235
"m1_HandBreadth.Eth","b[4]",1.0009206678157,19182.0897018432
"m1_HandBreadth.Eth","sigma_y",1.00044719560156,5591.8649944388
"m1_HandBreadth.Eth","sigma",1.00039303980038,17746.429658736
"m1_HandBreadth.Eth","y[1]",1.00043795074302,7300.29866844936
"m1_HandBreadth.Eth","y[2]",1.00016721031672,7974.29866022897
"m1_HandBreadth.Eth","y[3]",1.00038861754802,8988.21809146554
"m1_HandBreadth.Eth","y[4]",1.00039432767997,12289.1802731402
"m1_Finger.Eth","z[1]",1.00033514601141,6811.62820868738
"m1_Finger.Eth","z[2]",1.00014887154647,8207.25767435979
"m1_Finger.Eth","z[3]",1.0006430196225,8298.83915032892
"m1_Finger.Eth","z[4]",1.00042500540678,11159.3059734987
"m1_Finger.Eth","a",1.00068878505559,6305.5853575386
"m1_Finger.Eth","b[1]",1.0000236843361,16337.6186857228
"m1_Finger.Eth","b[2]",1.0003877514589,16223.4195356458
"m1_Finger.Eth","b[3]",1.00030353380763,15882.6145488838
"m1_Finger.Eth","b[4]",1.00013663701033,14360.4189505038
"m1_Finger.Eth","sigma_y",1.00017936545793,5276.05423454173
"m1_Finger.Eth","sigma",0.999992101908856,14131.8455009908
"m1_Finger.Eth","y[1]",1.00063097829982,6436.12985098347
"m1_Finger.Eth","y[2]",1.00024287812248,7147.35025469522
"m1_Finger.Eth","y[3]",1.00045399477931,8201.28490451616
"m1_Finger.Eth","y[4]",1.00022891204513,10647.6390366324
"m1_Biiliac.Eth","z[1]",1.00063788013802,6060.37414627426
"m1_Biiliac.Eth","z[2]",1.00057952077527,8119.2279932506
"m1_Biiliac.Eth","z[3]",1.00033150646843,8138.81505804608
"m1_Biiliac.Eth","z[4]",1.00110507646293,10924.0574983055
"m1_Biiliac.Eth","a",1.00108006048357,6134.81842468765
"m1_Biiliac.Eth","b[1]",1.00003390572767,16885.3953747829
"m1_Biiliac.Eth","b[2]",1.00037674886299,18512.5811820975
"m1_Biiliac.Eth","b[3]",1.00023343793896,16065.7127939767
"m1_Biiliac.Eth","b[4]",1.00026686058584,17009.8908103144
"m1_Biiliac.Eth","sigma_y",1.00076830321174,4728.84267416419
"m1_Biiliac.Eth","sigma",1.00029678457989,16475.2925973174
"m1_Biiliac.Eth","y[1]",1.00106801351429,6327.98655145637
"m1_Biiliac.Eth","y[2]",1.0008655562846,6926.03066586704
"m1_Biiliac.Eth","y[3]",1.00032237460041,8588.6705997617
"m1_Biiliac.Eth","y[4]",1.00063565022275,9070.54688579335
"m1_Biacrom.Eth","z[1]",1.0004491037001,6429.50925499782
"m1_Biacrom.Eth","z[2]",1.00035054146995,8476.04302000424
"m1_Biacrom.Eth","z[3]",1.00052327178293,7972.8847257329
"m1_Biacrom.Eth","z[4]",1.00037154928645,12526.1867938836
"m1_Biacrom.Eth","a",1.00044173515231,6231.53985470845
"m1_Biacrom.Eth","b[1]",1.00040174191258,17172.3660363119
"m1_Biacrom.Eth","b[2]",0.999958149474132,16418.2326426279
"m1_Biacrom.Eth","b[3]",1.00016426003269,16254.8335233643
"m1_Biacrom.Eth","b[4]",1.00017858927551,16873.9457637899
"m1_Biacrom.Eth","sigma_y",1.00194086163,4163.45589237253
"m1_Biacrom.Eth","sigma",1.00057606971627,14883.1510801916
"m1_Biacrom.Eth","y[1]",1.00054586516459,6297.29351781201
"m1_Biacrom.Eth","y[2]",1.00043371466569,6721.24832371673
"m1_Biacrom.Eth","y[3]",1.00042094682145,7642.46361990079
"m1_Biacrom.Eth","y[4]",1.00034252632103,10714.5205776529
"m1_Mass.Eth","z[1]",1.00022039680595,6403.44294643535
"m1_Mass.Eth","z[2]",1.00069598549465,7490.04359906315
"m1_Mass.Eth","z[3]",1.00024331443569,8210.65820387114
"m1_Mass.Eth","z[4]",1.00006433218248,11541.8449536618
"m1_Mass.Eth","a",1.00041226558728,6438.4821160608
"m1_Mass.Eth","b[1]",1.0006718321063,17942.6546669213
"m1_Mass.Eth","b[2]",1.000545032371,16385.491133616
"m1_Mass.Eth","b[3]",1.00039476077763,17104.92510998
"m1_Mass.Eth","b[4]",1.00014675704091,17465.3604462642
"m1_Mass.Eth","sigma_y",1.00025878116953,5318.65606646549
"m1_Mass.Eth","sigma",0.999970190018811,15865.7021581948
"m1_Mass.Eth","y[1]",1.00030795123843,6532.70378706016
"m1_Mass.Eth","y[2]",1.00042439812281,7356.7962360031
"m1_Mass.Eth","y[3]",1.00028762121498,8641.45492727976
"m1_Mass.Eth","y[4]",1.00022340181775,11541.1378162057
"m1_Triceps.Eth","z[1]",1.00042380373388,7024.9589938558
"m1_Triceps.Eth","z[2]",1.0003202113021,8566.97535781126
"m1_Triceps.Eth","z[3]",1.00041049567431,9427.46218337449
"m1_Triceps.Eth","z[4]",1.00029994473273,10052.5120428626
"m1_Triceps.Eth","a",1.00029051039292,6824.22692683436
"m1_Triceps.Eth","b[1]",1.00040636933432,15097.8936596447
"m1_Triceps.Eth","b[2]",1.00082244618817,14262.7106231317
"m1_Triceps.Eth","b[3]",1.00056912120141,15018.9901430972
"m1_Triceps.Eth","b[4]",1.00050746456757,15493.4496251672
"m1_Triceps.Eth","sigma_y",1.00073083761656,4016.41124161113
"m1_Triceps.Eth","sigma",1.00045320624032,14318.8294211243
"m1_Triceps.Eth","y[1]",1.00035670708751,7081.87774646527
"m1_Triceps.Eth","y[2]",1.00023523946367,6693.37171264838
"m1_Triceps.Eth","y[3]",1.00027968625795,9094.07363373023
"m1_Triceps.Eth","y[4]",1.00016183549037,10315.558095554
"m1_ForearmC.Eth","z[1]",1.00047066009787,5916.05900720503
"m1_ForearmC.Eth","z[2]",1.00035591753896,7790.53995583702
"m1_ForearmC.Eth","z[3]",1.0006049123582,7375.31249520531
"m1_ForearmC.Eth","z[4]",0.999928382149857,11104.0582707205
"m1_ForearmC.Eth","a",1.00048598980112,6058.54802892437
"m1_ForearmC.Eth","b[1]",1.00089803476647,15304.5104322192
"m1_ForearmC.Eth","b[2]",0.999999001660519,16755.4196173083
"m1_ForearmC.Eth","b[3]",1.0001321978089,17252.6146282207
"m1_ForearmC.Eth","b[4]",1.00003148098005,17794.7565388968
"m1_ForearmC.Eth","sigma_y",1.00039381742536,4119.96171300375
"m1_ForearmC.Eth","sigma",1.00006887164464,13638.293388939
"m1_ForearmC.Eth","y[1]",1.00049349189649,6081.12252847675
"m1_ForearmC.Eth","y[2]",1.00025437131754,5765.14117887595
"m1_ForearmC.Eth","y[3]",1.00058235589497,7957.2406676684
"m1_ForearmC.Eth","y[4]",1.00017556937404,9431.32917098078
"m1_Hrs_Sport.Eth","z[1]",1.00024923131348,8037.0536069956
"m1_Hrs_Sport.Eth","z[2]",1.0006828437834,8985.16234562433
"m1_Hrs_Sport.Eth","z[3]",0.999980149407838,10100.7649197447
"m1_Hrs_Sport.Eth","z[4]",1.00011146080377,13867.9093011975
"m1_Hrs_Sport.Eth","a",1.00050633856251,6492.07846295743
"m1_Hrs_Sport.Eth","b[1]",1.00010054871723,17780.8962106605
"m1_Hrs_Sport.Eth","b[2]",1.00012469432099,16810.8232384931
"m1_Hrs_Sport.Eth","b[3]",1.00058831914506,16904.1756613226
"m1_Hrs_Sport.Eth","b[4]",1.00021019067738,15607.6383417412
"m1_Hrs_Sport.Eth","sigma_y",1.00113440849262,4067.61318285573
"m1_Hrs_Sport.Eth","sigma",1.00011833936858,16125.7671827909
"m1_Hrs_Sport.Eth","y[1]",1.00040922650786,6595.21887213559
"m1_Hrs_Sport.Eth","y[2]",1.00029119254639,6295.32103138427
"m1_Hrs_Sport.Eth","y[3]",1.00008123895481,7909.24278195779
"m1_Hrs_Sport.Eth","y[4]",1.00025352358885,11353.2853347834
"m1_Exp_yrs.Eth","z[1]",1.00022924428595,7208.64212449229
"m1_Exp_yrs.Eth","z[2]",0.999854141018914,8871.23100953291
"m1_Exp_yrs.Eth","z[3]",1.00021478007984,8633.1987883704
"m1_Exp_yrs.Eth","z[4]",1.00009993287623,11744.7001163611
"m1_Exp_yrs.Eth","a",1.0002167385262,6912.26874001504
"m1_Exp_yrs.Eth","b[1]",1.00017725199084,16032.6240537635
"m1_Exp_yrs.Eth","b[2]",0.999911792462013,16871.3869716324
"m1_Exp_yrs.Eth","b[3]",1.00044643824584,15303.5470499984
"m1_Exp_yrs.Eth","b[4]",1.00018065223293,17007.6414424762
"m1_Exp_yrs.Eth","sigma_y",1.0001652984084,4504.17950590474
"m1_Exp_yrs.Eth","sigma",1.00012189876401,15771.350440461
"m1_Exp_yrs.Eth","y[1]",1.00031371093859,6947.89889039685
"m1_Exp_yrs.Eth","y[2]",0.99990947387706,7632.20473460044
"m1_Exp_yrs.Eth","y[3]",1.00036535266757,7345.89465681395
"m1_Exp_yrs.Eth","y[4]",1.0004057095983,11337.7306823087
"m1_SitHeight.Stature.Eth","z[1]",1.00053960573692,7587.37998193248
"m1_SitHeight.Stature.Eth","z[2]",1.0001796586892,8998.84520667277
"m1_SitHeight.Stature.Eth","z[3]",1.00032275541237,8677.62224805763
"m1_SitHeight.Stature.Eth","z[4]",1.00046420282647,12401.8499692035
"m1_SitHeight.Stature.Eth","a",1.00089790016133,6865.06633643528
"m1_SitHeight.Stature.Eth","b[1]",1.00022890918728,11320.4325102601
"m1_SitHeight.Stature.Eth","b[2]",1.00015509017718,9899.29922523686
"m1_SitHeight.Stature.Eth","b[3]",1.00007813019889,11173.7260858082
"m1_SitHeight.Stature.Eth","b[4]",1.00030205236153,9798.83643760335
"m1_SitHeight.Stature.Eth","sigma_y",1.00142014654862,4860.96847271721
"m1_SitHeight.Stature.Eth","d",1.00040092332792,7435.25298931194
"m1_SitHeight.Stature.Eth","sigma",1.00000533506379,14158.4659374716
"m1_SitHeight.Stature.Eth","y[1]",1.00086765736489,6961.47905875192
"m1_SitHeight.Stature.Eth","y[2]",1.00049611047317,7283.95120348093
"m1_SitHeight.Stature.Eth","y[3]",1.00036729752182,7961.72495621639
"m1_SitHeight.Stature.Eth","y[4]",1.00038870557846,11308.6671701363
"m1_ArmSpan.Stature.Eth","z[1]",1.0002625758877,7183.4834378147
"m1_ArmSpan.Stature.Eth","z[2]",1.00000858380863,9247.12663541876
"m1_ArmSpan.Stature.Eth","z[3]",1.00034672130211,8948.06903170657
"m1_ArmSpan.Stature.Eth","z[4]",1.00019202314109,10970.3558220026
"m1_ArmSpan.Stature.Eth","a",1.00028533489147,6651.26145124601
"m1_ArmSpan.Stature.Eth","b[1]",1.00037628401225,10506.976769678
"m1_ArmSpan.Stature.Eth","b[2]",1.00017051471292,9681.35201428498
"m1_ArmSpan.Stature.Eth","b[3]",1.00042341123721,9703.60023825548
"m1_ArmSpan.Stature.Eth","b[4]",1.0002602700773,10300.215479826
"m1_ArmSpan.Stature.Eth","sigma_y",1.00012839790602,4786.94625327913
"m1_ArmSpan.Stature.Eth","d",1.00048275438287,7442.30440042126
"m1_ArmSpan.Stature.Eth","sigma",0.999989634814692,12907.6813975813
"m1_ArmSpan.Stature.Eth","y[1]",1.00043994511529,6733.64494312166
"m1_ArmSpan.Stature.Eth","y[2]",1.00024451989287,6877.45345969091
"m1_ArmSpan.Stature.Eth","y[3]",1.00001168221576,8255.83389206886
"m1_ArmSpan.Stature.Eth","y[4]",1.00000198025896,10194.9327519664
"m1_Leg.Stature.Eth","z[1]",1.00046513928324,6268.44348459531
"m1_Leg.Stature.Eth","z[2]",1.00071980108321,8350.50832936852
"m1_Leg.Stature.Eth","z[3]",1.00106641506473,7694.44769231843
"m1_Leg.Stature.Eth","z[4]",1.00068331313422,12110.8008311773
"m1_Leg.Stature.Eth","a",1.00096944307326,5301.00362924414
"m1_Leg.Stature.Eth","b[1]",1.00025552167541,8508.97351002286
