Model_name,Model_family,Focal,Control1,Control2,Ethnicity,Model_type
m2_PC1.Eth,Model2,PC1,,,Y,m2.1M_Eth
m2_Stature.Eth,Model2,Stature,,,Y,m2.1M_Eth
m2_SitHeight.Eth,Model2,SitHeight,,,Y,m2.1M_Eth
m2_ArmSpan.Eth,Model2,ArmSpan,,,Y,m2.1M_Eth
m2_Leg.Eth,Model2,Leg,,,Y,m2.1M_Eth
m2_Femur.Eth,Model2,Femur,,,Y,m2.1M_Eth
m2_Tibia.Eth,Model2,Tibia,,,Y,m2.1M_Eth
m2_Arm.Eth,Model2,Arm,,,Y,m2.1M_Eth
m2_Humerus.Eth,Model2,Humerus,,,Y,m2.1M_Eth
m2_ForearmL.Eth,Model2,ForearmL,,,Y,m2.1M_Eth
m2_FootLength.Eth,Model2,FootLength,,,Y,m2.1M_Eth
m2_FootBreadth.Eth,Model2,FootBreadth,,,Y,m2.1M_Eth
m2_HandLength.Eth,Model2,HandLength,,,Y,m2.1M_Eth
m2_HandBreadth.Eth,Model2,HandBreadth,,,Y,m2.1M_Eth
m2_Finger.Eth,Model2,Finger,,,Y,m2.1M_Eth
m2_Biiliac.Eth,Model2,Biiliac,,,Y,m2.1M_Eth
m2_Biacrom.Eth,Model2,Biacrom,,,Y,m2.1M_Eth
m2_Mass.Eth,Model2,Mass,,,Y,m2.1M_Eth
m2_Triceps.Eth,Model2,Triceps,,,Y,m2.1M_Eth
m2_ForearmC.Eth,Model2,ForearmC,,,Y,m2.1M_Eth
m2_SitHeight.Stature.Eth,Model2,SitHeight,Stature,,Y,m2.2M_Eth
m2_ArmSpan.Stature.Eth,Model2,ArmSpan,Stature,,Y,m2.2M_Eth
m2_Leg.Stature.Eth,Model2,Leg,Stature,,Y,m2.2M_Eth
m2_Femur.Stature.Eth,Model2,Femur,Stature,,Y,m2.2M_Eth
m2_Tibia.Stature.Eth,Model2,Tibia,Stature,,Y,m2.2M_Eth
m2_Arm.Stature.Eth,Model2,Arm,Stature,,Y,m2.2M_Eth
m2_Humerus.Stature.Eth,Model2,Humerus,Stature,,Y,m2.2M_Eth
m2_ForearmL.Stature.Eth,Model2,ForearmL,Stature,,Y,m2.2M_Eth
m2_FootLength.Stature.Eth,Model2,FootLength,Stature,,Y,m2.2M_Eth
m2_FootBreadth.Stature.Eth,Model2,FootBreadth,Stature,,Y,m2.2M_Eth
m2_HandLength.Stature.Eth,Model2,HandLength,Stature,,Y,m2.2M_Eth
m2_HandBreadth.Stature.Eth,Model2,HandBreadth,Stature,,Y,m2.2M_Eth
m2_Finger.Stature.Eth,Model2,Finger,Stature,,Y,m2.2M_Eth
m2_Biiliac.Stature.Eth,Model2,Biiliac,Stature,,Y,m2.2M_Eth
m2_Biacrom.Stature.Eth,Model2,Biacrom,Stature,,Y,m2.2M_Eth
m2_Mass.Stature.Eth,Model2,Mass,Stature,,Y,m2.2M_Eth
m2_Triceps.Hrs_Total.Eth,Model2,Triceps,Hrs_Total,,Y,m2.2M_Eth
m2_ForearmC.ForearmL.Eth,Model2,ForearmC,ForearmL,,Y,m2.2M_Eth
m2_Tibia.Femur.Eth,Model2,Tibia,Femur,,Y,m2.2M_Eth
m2_Arm.Leg.Eth,Model2,Arm,Leg,,Y,m2.2M_Eth
m2_Humerus.Femur.Eth,Model2,Humerus,Femur,,Y,m2.2M_Eth
m2_ForearmL.Humerus.Eth,Model2,ForearmL,Humerus,,Y,m2.2M_Eth
m2_Finger.HandLength.Eth,Model2,Finger,HandLength,,Y,m2.2M_Eth
m2_Biacrom.Biiliac.Eth,Model2,Biacrom,Biiliac,,Y,m2.2M_Eth
m2_ForearmC.Hrs_Total.Eth,Model2,ForearmC,Hrs_Total,,Y,m2.2M_Eth
m2_ForearmC.ForearmL.Hrs_Total.Eth,Model2,ForearmC,ForearmL,Hrs_Total,Y,m2.3M_Eth
m2_PC1,Model2,PC1,,,N,m2.1M
m2_Stature,Model2,Stature,,,N,m2.1M
m2_SitHeight,Model2,SitHeight,,,N,m2.1M
m2_ArmSpan,Model2,ArmSpan,,,N,m2.1M
m2_Leg,Model2,Leg,,,N,m2.1M
m2_Femur,Model2,Femur,,,N,m2.1M
m2_Tibia,Model2,Tibia,,,N,m2.1M
m2_Arm,Model2,Arm,,,N,m2.1M
m2_Humerus,Model2,Humerus,,,N,m2.1M
m2_ForearmL,Model2,ForearmL,,,N,m2.1M
m2_FootLength,Model2,FootLength,,,N,m2.1M
m2_FootBreadth,Model2,FootBreadth,,,N,m2.1M
m2_HandLength,Model2,HandLength,,,N,m2.1M
m2_HandBreadth,Model2,HandBreadth,,,N,m2.1M
m2_Finger,Model2,Finger,,,N,m2.1M
m2_Biiliac,Model2,Biiliac,,,N,m2.1M
m2_Biacrom,Model2,Biacrom,,,N,m2.1M
m2_Mass,Model2,Mass,,,N,m2.1M
m2_Triceps,Model2,Triceps,,,N,m2.1M
m2_ForearmC,Model2,ForearmC,,,N,m2.1M
m2_SitHeight.Stature,Model2,SitHeight,Stature,,N,m2.2M
m2_ArmSpan.Stature,Model2,ArmSpan,Stature,,N,m2.2M
m2_Leg.Stature,Model2,Leg,Stature,,N,m2.2M
m2_Femur.Stature,Model2,Femur,Stature,,N,m2.2M
m2_Tibia.Stature,Model2,Tibia,Stature,,N,m2.2M
m2_Arm.Stature,Model2,Arm,Stature,,N,m2.2M
m2_Humerus.Stature,Model2,Humerus,Stature,,N,m2.2M
m2_ForearmL.Stature,Model2,ForearmL,Stature,,N,m2.2M
m2_FootLength.Stature,Model2,FootLength,Stature,,N,m2.2M
m2_FootBreadth.Stature,Model2,FootBreadth,Stature,,N,m2.2M
m2_HandLength.Stature,Model2,HandLength,Stature,,N,m2.2M
m2_HandBreadth.Stature,Model2,HandBreadth,Stature,,N,m2.2M
m2_Finger.Stature,Model2,Finger,Stature,,N,m2.2M
m2_Biiliac.Stature,Model2,Biiliac,Stature,,N,m2.2M
m2_Biacrom.Stature,Model2,Biacrom,Stature,,N,m2.2M
m2_Mass.Stature,Model2,Mass,Stature,,N,m2.2M
m2_Triceps.Hrs_Total,Model2,Triceps,Hrs_Total,,N,m2.2M
m2_ForearmC.ForearmL,Model2,ForearmC,ForearmL,,N,m2.2M
m2_Tibia.Femur,Model2,Tibia,Femur,,N,m2.2M
m2_Arm.Leg,Model2,Arm,Leg,,N,m2.2M
m2_Humerus.Femur,Model2,Humerus,Femur,,N,m2.2M
m2_ForearmL.Humerus,Model2,ForearmL,Humerus,,N,m2.2M
m2_Finger.HandLength,Model2,Finger,HandLength,,N,m2.2M
m2_Biacrom.Biiliac,Model2,Biacrom,Biiliac,,N,m2.2M
m2_ForearmC.Hrs_Total,Model2,ForearmC,Hrs_Total,,N,m2.2M
m2_ForearmC.ForearmL.Hrs_Total,Model2,ForearmC,ForearmL,Hrs_Total,N,m2.3M