"proportion_id","focal","control","sex","dataset","sport1","sport2","comparison","p_same_sign","p_tradeoff","sport1_mean","sport2_mean"
"Arm.Leg","Arm","Leg","M","m2","climb","walk","climb_vs_walk",0.538875,0.461125,0.281493544852056,-0.00195380456495569
"Arm.Leg","Arm","Leg","M","m2","climb","sprint","climb_vs_sprint",0.8875625,0.1124375,0.281493544852056,0.203603140887468
"Humerus","Humerus","absolute","F","m2","climb","run","climb_vs_run",0.6805625,0.3194375,0.0761646512232133,0.0689638335970151
"Humerus","Humerus","absolute","F","m2","climb","walk","climb_vs_walk",0.686375,0.313625,0.0761646512232133,0.128067480594518
"Humerus","Humerus","absolute","F","m2","climb","sprint","climb_vs_sprint",0.686875,0.313125,0.0761646512232133,0.0951441322652704
"Humerus","Humerus","absolute","M","m2","climb","run","climb_vs_run",0.657375,0.342625,0.0618449611912891,0.0227724570799571
"Humerus","Humerus","absolute","M","m2","climb","walk","climb_vs_walk",0.6669375,0.3330625,0.0618449611912891,0.0449483415897415
"Humerus","Humerus","absolute","M","m2","climb","sprint","climb_vs_sprint",0.6733125,0.3266875,0.0618449611912891,0.0365736289297982
"Humerus.Stature","Humerus","Stature","F","m2","climb","run","climb_vs_run",0.6790625,0.3209375,0.0705473258532809,0.0611160075393341
"Humerus.Stature","Humerus","Stature","F","m2","climb","walk","climb_vs_walk",0.6575625,0.3424375,0.0705473258532809,0.0313099262403313
"Humerus.Stature","Humerus","Stature","F","m2","climb","sprint","climb_vs_sprint",0.6599375,0.3400625,0.0705473258532809,0.0331068441328915
"Humerus.Stature","Humerus","Stature","M","m2","climb","run","climb_vs_run",0.8509375,0.1490625,0.320876068770978,0.208083879477987
"Humerus.Stature","Humerus","Stature","M","m2","climb","walk","climb_vs_walk",0.82775,0.17225,0.320876068770978,0.212292307864978
"Humerus.Stature","Humerus","Stature","M","m2","climb","sprint","climb_vs_sprint",0.8079375,0.1920625,0.320876068770978,0.159225778924159
"Humerus.Femur","Humerus","Femur","F","m2","climb","run","climb_vs_run",0.637875,0.362125,0.0475608485319099,0.003508631640781
"Humerus.Femur","Humerus","Femur","F","m2","climb","walk","climb_vs_walk",0.6635625,0.3364375,0.0475608485319099,0.0496520851157832
"Humerus.Femur","Humerus","Femur","F","m2","climb","sprint","climb_vs_sprint",0.6686875,0.3313125,0.0475608485319099,0.0656261382488026
"Humerus.Femur","Humerus","Femur","M","m2","climb","run","climb_vs_run",0.64825,0.35175,0.134427399747818,0.0278337194676934
"Humerus.Femur","Humerus","Femur","M","m2","climb","walk","climb_vs_walk",0.635625,0.364375,0.134427399747818,0.0206864667516332
"Humerus.Femur","Humerus","Femur","M","m2","climb","sprint","climb_vs_sprint",0.6891875,0.3108125,0.134427399747818,0.057920993009453
"ForearmL","ForearmL","absolute","F","m2","climb","run","climb_vs_run",0.7521875,0.2478125,0.134068981609914,0.188892355132156
"ForearmL","ForearmL","absolute","F","m2","climb","walk","climb_vs_walk",0.7474375,0.2525625,0.134068981609914,0.16644557370682
"ForearmL","ForearmL","absolute","F","m2","climb","sprint","climb_vs_sprint",0.7444375,0.2555625,0.134068981609914,0.151813331253337
"ForearmL","ForearmL","absolute","M","m2","climb","run","climb_vs_run",0.698625,0.301375,-0.0794991532383525,-0.0829756889297792
"ForearmL","ForearmL","absolute","M","m2","climb","walk","climb_vs_walk",0.689125,0.310875,-0.0794991532383525,-0.0779238085141037
"ForearmL","ForearmL","absolute","M","m2","climb","sprint","climb_vs_sprint",0.6420625,0.3579375,-0.0794991532383525,0.00446074313773448
"ForearmL.Stature","ForearmL","Stature","F","m2","climb","run","climb_vs_run",0.8611875,0.1388125,0.215125929906918,0.27953435610374
"ForearmL.Stature","ForearmL","Stature","F","m2","climb","walk","climb_vs_walk",0.703375,0.296625,0.215125929906918,0.0772363623422218
"ForearmL.Stature","ForearmL","Stature","F","m2","climb","sprint","climb_vs_sprint",0.7486875,0.2513125,0.215125929906918,0.0991521515294228
"ForearmL.Stature","ForearmL","Stature","M","m2","climb","run","climb_vs_run",0.723125,0.276875,0.106663631070994,0.073172235329714
"ForearmL.Stature","ForearmL","Stature","M","m2","climb","walk","climb_vs_walk",0.6540625,0.3459375,0.106663631070994,0.0261641653988436
"ForearmL.Stature","ForearmL","Stature","M","m2","climb","sprint","climb_vs_sprint",0.6485625,0.3514375,0.106663631070994,0.0194408269803516
"ForearmL.Humerus","ForearmL","Humerus","F","m2","climb","run","climb_vs_run",0.721375,0.278625,0.0885224233952714,0.143177974192003
"ForearmL.Humerus","ForearmL","Humerus","F","m2","climb","walk","climb_vs_walk",0.7054375,0.2945625,0.0885224233952714,0.0885281555320238
"ForearmL.Humerus","ForearmL","Humerus","F","m2","climb","sprint","climb_vs_sprint",0.698875,0.301125,0.0885224233952714,0.0833303158356763
"ForearmL.Humerus","ForearmL","Humerus","M","m2","climb","run","climb_vs_run",0.7626875,0.2373125,-0.151905171715068,-0.127688811210368
"ForearmL.Humerus","ForearmL","Humerus","M","m2","climb","walk","climb_vs_walk",0.752875,0.247125,-0.151905171715068,-0.141172761220457
"ForearmL.Humerus","ForearmL","Humerus","M","m2","climb","sprint","climb_vs_sprint",0.6436875,0.3563125,-0.151905171715068,-0.030230501378245
"FootLength","FootLength","absolute","F","m2","climb","run","climb_vs_run",0.6144375,0.3855625,0.0246028490597415,-0.079778691389719
"FootLength","FootLength","absolute","F","m2","climb","walk","climb_vs_walk",0.62875,0.37125,0.0246028490597415,0.157930584581641
"FootLength","FootLength","absolute","F","m2","climb","sprint","climb_vs_sprint",0.632875,0.367125,0.0246028490597415,0.143900954493387
"FootLength","FootLength","absolute","M","m2","climb","run","climb_vs_run",0.7115,0.2885,-0.119463944312846,-0.107070979812308
"FootLength","FootLength","absolute","M","m2","climb","walk","climb_vs_walk",0.53425,0.46575,-0.119463944312846,0.0988159079909886
"FootLength","FootLength","absolute","M","m2","climb","sprint","climb_vs_sprint",0.4911875,0.5088125,-0.119463944312846,0.132224732155262
"FootLength.Stature","FootLength","Stature","F","m2","climb","run","climb_vs_run",0.6038125,0.3961875,0.0420290388791527,-0.0550087350388164
"FootLength.Stature","FootLength","Stature","F","m2","climb","walk","climb_vs_walk",0.6551875,0.3448125,0.0420290388791527,0.0476440059557049
"FootLength.Stature","FootLength","Stature","F","m2","climb","sprint","climb_vs_sprint",0.6599375,0.3400625,0.0420290388791527,0.0600944658675003
"FootLength.Stature","FootLength","Stature","M","m2","climb","run","climb_vs_run",0.6509375,0.3490625,0.0389010378935429,0.028018769358795
"FootLength.Stature","FootLength","Stature","M","m2","climb","walk","climb_vs_walk",0.64925,0.35075,0.0389010378935429,0.217829400142003
"FootLength.Stature","FootLength","Stature","M","m2","climb","sprint","climb_vs_sprint",0.6449375,0.3550625,0.0389010378935429,0.22842461609246
"FootBreadth","FootBreadth","absolute","F","m2","climb","run","climb_vs_run",0.7368125,0.2631875,0.122716583946778,0.154109387792747
"FootBreadth","FootBreadth","absolute","F","m2","climb","walk","climb_vs_walk",0.7301875,0.2698125,0.122716583946778,0.1406582639594
"FootBreadth","FootBreadth","absolute","F","m2","climb","sprint","climb_vs_sprint",0.71175,0.28825,0.122716583946778,0.10163836928686
"FootBreadth","FootBreadth","absolute","M","m2","climb","run","climb_vs_run",0.6425625,0.3574375,-0.33936328321554,-0.062683470697942
"FootBreadth","FootBreadth","absolute","M","m2","climb","walk","climb_vs_walk",0.2270625,0.7729375,-0.33936328321554,0.359110916232741
"FootBreadth","FootBreadth","absolute","M","m2","climb","sprint","climb_vs_sprint",0.31175,0.68825,-0.33936328321554,0.18869465157626
"FootBreadth.Stature","FootBreadth","Stature","F","m2","climb","run","climb_vs_run",0.760625,0.239375,0.152578712199653,0.179997778241762
"FootBreadth.Stature","FootBreadth","Stature","F","m2","climb","walk","climb_vs_walk",0.70225,0.29775,0.152578712199653,0.096674308981079
"FootBreadth.Stature","FootBreadth","Stature","F","m2","climb","sprint","climb_vs_sprint",0.693125,0.306875,0.152578712199653,0.0719585734541606
"FootBreadth.Stature","FootBreadth","Stature","M","m2","climb","run","climb_vs_run",0.528125,0.471875,-0.209663642741041,0.0596375066266843
"FootBreadth.Stature","FootBreadth","Stature","M","m2","climb","walk","climb_vs_walk",0.2654375,0.7345625,-0.209663642741041,0.471395731705897
"FootBreadth.Stature","FootBreadth","Stature","M","m2","climb","sprint","climb_vs_sprint",0.3105,0.6895,-0.209663642741041,0.270086432485372
"HandLength","HandLength","absolute","F","m2","climb","run","climb_vs_run",0.6851875,0.3148125,0.0867029503779775,0.109734192518321
"HandLength","HandLength","absolute","F","m2","climb","walk","climb_vs_walk",0.6865625,0.3134375,0.0867029503779775,0.256613813080668
"HandLength","HandLength","absolute","F","m2","climb","sprint","climb_vs_sprint",0.684375,0.315625,0.0867029503779775,0.247583535639014
"HandLength","HandLength","absolute","M","m2","climb","run","climb_vs_run",0.70625,0.29375,0.112176117762439,0.0850176409279815
"HandLength","HandLength","absolute","M","m2","climb","walk","climb_vs_walk",0.68475,0.31525,0.112176117762439,0.073565585952524
"HandLength","HandLength","absolute","M","m2","climb","sprint","climb_vs_sprint",0.7376875,0.2623125,0.112176117762439,0.153549674744589
"HandLength.Stature","HandLength","Stature","F","m2","climb","run","climb_vs_run",0.7056875,0.2943125,0.0866212342884305,0.0964795560164525
"HandLength.Stature","HandLength","Stature","F","m2","climb","walk","climb_vs_walk",0.708875,0.291125,0.0866212342884305,0.114120480926001
"HandLength.Stature","HandLength","Stature","F","m2","climb","sprint","climb_vs_sprint",0.71975,0.28025,0.0866212342884305,0.131346434807378
"HandLength.Stature","HandLength","Stature","M","m2","climb","run","climb_vs_run",0.9875,0.0125,0.632341925014981,0.523334916196884
"HandLength.Stature","HandLength","Stature","M","m2","climb","walk","climb_vs_walk",0.9426875,0.0573125,0.632341925014981,0.387270946390123
"HandLength.Stature","HandLength","Stature","M","m2","climb","sprint","climb_vs_sprint",0.9649375,0.0350625,0.632341925014981,0.406953313333753
"HandBreadth","HandBreadth","absolute","F","m2","climb","run","climb_vs_run",0.7025625,0.2974375,0.142489644442594,0.38969748846446
"HandBreadth","HandBreadth","absolute","F","m2","climb","walk","climb_vs_walk",0.6831875,0.3168125,0.142489644442594,0.177398346963815
"HandBreadth","HandBreadth","absolute","F","m2","climb","sprint","climb_vs_sprint",0.696125,0.303875,0.142489644442594,0.769788343050389
"HandBreadth","HandBreadth","absolute","M","m2","climb","run","climb_vs_run",0.6003125,0.3996875,-0.0409696344411697,-0.415952721482438
"HandBreadth","HandBreadth","absolute","M","m2","climb","walk","climb_vs_walk",0.612375,0.387625,-0.0409696344411697,0.0270469821838549
"HandBreadth","HandBreadth","absolute","M","m2","climb","sprint","climb_vs_sprint",0.5434375,0.4565625,-0.0409696344411697,0.216506058009955
"HandBreadth.Stature","HandBreadth","Stature","F","m2","climb","run","climb_vs_run",0.711875,0.288125,0.152547394547725,0.398467571079234
"HandBreadth.Stature","HandBreadth","Stature","F","m2","climb","walk","climb_vs_walk",0.6225625,0.3774375,0.152547394547725,0.0429620323407075
"HandBreadth.Stature","HandBreadth","Stature","F","m2","climb","sprint","climb_vs_sprint",0.7066875,0.2933125,0.152547394547725,0.716157848031186
"HandBreadth.Stature","HandBreadth","Stature","M","m2","climb","run","climb_vs_run",0.3740625,0.6259375,0.136346202995642,-0.280519815065113
"HandBreadth.Stature","HandBreadth","Stature","M","m2","climb","walk","climb_vs_walk",0.6868125,0.3131875,0.136346202995642,0.149774283298859
"HandBreadth.Stature","HandBreadth","Stature","M","m2","climb","sprint","climb_vs_sprint",0.7345,0.2655,0.136346202995642,0.305895127497489
"Finger","Finger","absolute","F","m2","climb","run","climb_vs_run",0.701,0.299,0.109819417616075,0.223005070580283
"Finger","Finger","absolute","F","m2","climb","walk","climb_vs_walk",0.696125,0.303875,0.109819417616075,0.209790494502918
"Finger","Finger","absolute","F","m2","climb","sprint","climb_vs_sprint",0.6991875,0.3008125,0.109819417616075,0.337692198143755
"Finger","Finger","absolute","M","m2","climb","run","climb_vs_run",0.6690625,0.3309375,0.0259548630643193,0.0344180465717243
"Finger","Finger","absolute","M","m2","climb","walk","climb_vs_walk",0.6623125,0.3376875,0.0259548630643193,0.0406959521407309
"Finger","Finger","absolute","M","m2","climb","sprint","climb_vs_sprint",0.660875,0.339125,0.0259548630643193,0.103829164315883
"Finger.Stature","Finger","Stature","F","m2","climb","run","climb_vs_run",0.748875,0.251125,0.133483252464443,0.24250078426815
"Finger.Stature","Finger","Stature","F","m2","climb","walk","climb_vs_walk",0.6993125,0.3006875,0.133483252464443,0.103418370728658
"Finger.Stature","Finger","Stature","F","m2","climb","sprint","climb_vs_sprint",0.7473125,0.2526875,0.133483252464443,0.276339241731797
"Finger.Stature","Finger","Stature","M","m2","climb","run","climb_vs_run",0.82325,0.17675,0.214335071525988,0.205696231027732
"Finger.Stature","Finger","Stature","M","m2","climb","walk","climb_vs_walk",0.7838125,0.2161875,0.214335071525988,0.1756148089313
"Finger.Stature","Finger","Stature","M","m2","climb","sprint","climb_vs_sprint",0.8228125,0.1771875,0.214335071525988,0.229450432260147
"Finger.HandLength","Finger","HandLength","F","m2","climb","run","climb_vs_run",0.6744375,0.3255625,0.046334500251098,0.134985580299862
"Finger.HandLength","Finger","HandLength","F","m2","climb","walk","climb_vs_walk",0.6226875,0.3773125,0.046334500251098,-0.00867159057314071
"Finger.HandLength","Finger","HandLength","F","m2","climb","sprint","climb_vs_sprint",0.6758125,0.3241875,0.046334500251098,0.112269033430461
"Finger.HandLength","Finger","HandLength","M","m2","climb","run","climb_vs_run",0.6649375,0.3350625,-0.0375267660616143,-0.0106807587991073
"Finger.HandLength","Finger","HandLength","M","m2","climb","walk","climb_vs_walk",0.644625,0.355375,-0.0375267660616143,0.00456223009199517
"Finger.HandLength","Finger","HandLength","M","m2","climb","sprint","climb_vs_sprint",0.6163125,0.3836875,-0.0375267660616143,0.0298776041247354
"Biiliac","Biiliac","absolute","F","m2","climb","run","climb_vs_run",0.80425,0.19575,-0.385877060887592,-0.196742322237604
"Biiliac","Biiliac","absolute","F","m2","climb","walk","climb_vs_walk",0.8115,0.1885,-0.385877060887592,-0.219840821379769
"Biiliac","Biiliac","absolute","F","m2","climb","sprint","climb_vs_sprint",0.85375,0.14625,-0.385877060887592,-0.266567032742029
"Biiliac","Biiliac","absolute","M","m2","climb","run","climb_vs_run",0.9791875,0.0208125,-0.537271236009674,-0.670141591472503
"Biiliac","Biiliac","absolute","M","m2","climb","walk","climb_vs_walk",0.94675,0.05325,-0.537271236009674,-0.476656901112709
"Biiliac","Biiliac","absolute","M","m2","climb","sprint","climb_vs_sprint",0.9574375,0.0425625,-0.537271236009674,-0.46116600969923
"Biiliac.Stature","Biiliac","Stature","F","m2","climb","run","climb_vs_run",0.9013125,0.0986875,-0.607162124460951,-0.299811561724254
"Biiliac.Stature","Biiliac","Stature","F","m2","climb","walk","climb_vs_walk",0.9649375,0.0350625,-0.607162124460951,-0.534583947850888
"Biiliac.Stature","Biiliac","Stature","F","m2","climb","sprint","climb_vs_sprint",0.9696875,0.0303125,-0.607162124460951,-0.50344987020511
"Biiliac.Stature","Biiliac","Stature","M","m2","climb","run","climb_vs_run",0.861875,0.138125,-0.203014907670529,-0.349179843522131
"Biiliac.Stature","Biiliac","Stature","M","m2","climb","walk","climb_vs_walk",0.8194375,0.1805625,-0.203014907670529,-0.239259691136928
"Biiliac.Stature","Biiliac","Stature","M","m2","climb","sprint","climb_vs_sprint",0.854625,0.145375,-0.203014907670529,-0.338315590806759
"Biacrom","Biacrom","absolute","F","m2","climb","run","climb_vs_run",0.4504375,0.5495625,0.22491604506715,-0.134000427257513
"Biacrom","Biacrom","absolute","F","m2","climb","walk","climb_vs_walk",0.784375,0.215625,0.22491604506715,0.401263507524095
"Biacrom","Biacrom","absolute","F","m2","climb","sprint","climb_vs_sprint",0.7791875,0.2208125,0.22491604506715,0.317481280604284
"Biacrom","Biacrom","absolute","M","m2","climb","run","climb_vs_run",0.5514375,0.4485625,0.00314837992191513,-0.333286365949455
"Biacrom","Biacrom","absolute","M","m2","climb","walk","climb_vs_walk",0.623375,0.376625,0.00314837992191513,-0.0274369105107061
"Biacrom","Biacrom","absolute","M","m2","climb","sprint","climb_vs_sprint",0.5505625,0.4494375,0.00314837992191513,0.367790032237531
"Biacrom.Stature","Biacrom","Stature","F","m2","climb","run","climb_vs_run",0.406625,0.593375,0.212663101155073,-0.138907816274891
"Biacrom.Stature","Biacrom","Stature","F","m2","climb","walk","climb_vs_walk",0.7753125,0.2246875,0.212663101155073,0.217144820644985
"Biacrom.Stature","Biacrom","Stature","F","m2","climb","sprint","climb_vs_sprint",0.780625,0.219375,0.212663101155073,0.198249877989995
"Biacrom.Stature","Biacrom","Stature","M","m2","climb","run","climb_vs_run",0.38925,0.61075,0.186498141548829,-0.181993082326895
"Biacrom.Stature","Biacrom","Stature","M","m2","climb","walk","climb_vs_walk",0.679875,0.320125,0.186498141548829,0.0928688180170681
"Biacrom.Stature","Biacrom","Stature","M","m2","climb","sprint","climb_vs_sprint",0.80225,0.19775,0.186498141548829,0.447960927372698
"Biacrom.Biiliac","Biacrom","Biiliac","F","m2","climb","run","climb_vs_run",0.44675,0.55325,0.631710414582903,-0.0467571096712254
"Biacrom.Biiliac","Biacrom","Biiliac","F","m2","climb","walk","climb_vs_walk",0.970875,0.029125,0.631710414582903,0.723316283934591
"Biacrom.Biiliac","Biacrom","Biiliac","F","m2","climb","sprint","climb_vs_sprint",0.9704375,0.0295625,0.631710414582903,0.604734145847261
"Biacrom.Biiliac","Biacrom","Biiliac","M","m2","climb","run","climb_vs_run",0.480375,0.519625,0.203943004429925,-0.104648148855708
"Biacrom.Biiliac","Biacrom","Biiliac","M","m2","climb","walk","climb_vs_walk",0.716625,0.283375,0.203943004429925,0.152516709556179
"Biacrom.Biiliac","Biacrom","Biiliac","M","m2","climb","sprint","climb_vs_sprint",0.814875,0.185125,0.203943004429925,0.559937321850606
"Mass","Mass","absolute","F","m2","climb","run","climb_vs_run",0.636375,0.363625,-0.0720441935717461,-0.373071452944692
"Mass","Mass","absolute","F","m2","climb","walk","climb_vs_walk",0.607125,0.392875,-0.0720441935717461,0.00957366511243841
"Mass","Mass","absolute","F","m2","climb","sprint","climb_vs_sprint",0.5036875,0.4963125,-0.0720441935717461,0.224820434094457
"Mass","Mass","absolute","M","m2","climb","run","climb_vs_run",0.9996875,0.000312500000000049,-0.957654850977477,-1.20562146812005
"Mass","Mass","absolute","M","m2","climb","walk","climb_vs_walk",0.9995,0.000499999999999945,-0.957654850977477,-1.15915805358466
"Mass","Mass","absolute","M","m2","climb","sprint","climb_vs_sprint",0.890875,0.109125,-0.957654850977477,-0.320642043436721
"Mass.Stature","Mass","Stature","F","m2","climb","run","climb_vs_run",0.6298125,0.3701875,-0.0711393492108792,-0.409012861478839
"Mass.Stature","Mass","Stature","F","m2","climb","walk","climb_vs_walk",0.6485625,0.3514375,-0.0711393492108792,-0.147915579822548
"Mass.Stature","Mass","Stature","F","m2","climb","sprint","climb_vs_sprint",0.5359375,0.4640625,-0.0711393492108792,0.131931685967968
"Mass.Stature","Mass","Stature","M","m2","climb","run","climb_vs_run",0.9971875,0.0028125,-0.616604758232077,-0.906482017788255
"Mass.Stature","Mass","Stature","M","m2","climb","walk","climb_vs_walk",0.9966875,0.00331250000000005,-0.616604758232077,-0.920637718404238
"Mass.Stature","Mass","Stature","M","m2","climb","sprint","climb_vs_sprint",0.7871875,0.2128125,-0.616604758232077,-0.176550986779534
"Triceps","Triceps","absolute","F","m2","climb","run","climb_vs_run",0.9978125,0.00218750000000001,-0.915057072016596,-1.20661872773601
"Triceps","Triceps","absolute","F","m2","climb","walk","climb_vs_walk",0.9588125,0.0411875,-0.915057072016596,-0.474707925691935
"Triceps","Triceps","absolute","F","m2","climb","sprint","climb_vs_sprint",0.9978125,0.00218750000000001,-0.915057072016596,-1.16290940504097
"Triceps","Triceps","absolute","M","m2","climb","run","climb_vs_run",1,0,-1.10270188304965,-1.02640924454281
"Triceps","Triceps","absolute","M","m2","climb","walk","climb_vs_walk",0.9919375,0.00806249999999997,-1.10270188304965,-0.736335784616633
"Triceps","Triceps","absolute","M","m2","climb","sprint","climb_vs_sprint",1,0,-1.10270188304965,-1.06738700937321
"Triceps.Hrs_Total","Triceps","Hrs_Total","F","m2","climb","run","climb_vs_run",0.954875,0.045125,-0.578984069707485,-0.967472110593213
"Triceps.Hrs_Total","Triceps","Hrs_Total","F","m2","climb","walk","climb_vs_walk",0.752375,0.247625,-0.578984069707485,-0.191029101740847
"Triceps.Hrs_Total","Triceps","Hrs_Total","F","m2","climb","sprint","climb_vs_sprint",0.954625,0.0453750000000001,-0.578984069707485,-0.885049094664259
"Triceps.Hrs_Total","Triceps","Hrs_Total","M","m2","climb","run","climb_vs_run",0.993375,0.00662499999999999,-0.672544278463706,-0.708409326663632
"Triceps.Hrs_Total","Triceps","Hrs_Total","M","m2","climb","walk","climb_vs_walk",0.929,0.071,-0.672544278463706,-0.41366282599542
"Triceps.Hrs_Total","Triceps","Hrs_Total","M","m2","climb","sprint","climb_vs_sprint",0.991375,0.00862499999999999,-0.672544278463706,-0.684338001918373
"ForearmC","ForearmC","absolute","F","m2","climb","run","climb_vs_run",0.1165,0.8835,0.78706685064457,-0.324681180402377
"ForearmC","ForearmC","absolute","F","m2","climb","walk","climb_vs_walk",0.1489375,0.8510625,0.78706685064457,-0.31197094008468
"ForearmC","ForearmC","absolute","F","m2","climb","sprint","climb_vs_sprint",0.93175,0.06825,0.78706685064457,0.393001444142869
"ForearmC","ForearmC","absolute","M","m2","climb","run","climb_vs_run",0.4381875,0.5618125,0.0369980655681864,-1.43940993111988
"ForearmC","ForearmC","absolute","M","m2","climb","walk","climb_vs_walk",0.43825,0.56175,0.0369980655681864,-1.21964085076393
"ForearmC","ForearmC","absolute","M","m2","climb","sprint","climb_vs_sprint",0.541875,0.458125,0.0369980655681864,-0.22287401182544
"ForearmC.ForearmL","ForearmC","ForearmL","F","m2","climb","run","climb_vs_run",0.0580625,0.9419375,0.775390117508425,-0.437948581070562
"ForearmC.ForearmL","ForearmC","ForearmL","F","m2","climb","walk","climb_vs_walk",0.0855,0.9145,0.775390117508425,-0.420151412167304
"ForearmC.ForearmL","ForearmC","ForearmL","F","m2","climb","sprint","climb_vs_sprint",0.8879375,0.1120625,0.775390117508425,0.304256671796424
"ForearmC.ForearmL","ForearmC","ForearmL","M","m2","climb","run","climb_vs_run",0.4443125,0.5556875,0.0361419066271324,-1.4513259635036
"ForearmC.ForearmL","ForearmC","ForearmL","M","m2","climb","walk","climb_vs_walk",0.4444375,0.5555625,0.0361419066271324,-1.24143855071427
"ForearmC.ForearmL","ForearmC","ForearmL","M","m2","climb","sprint","climb_vs_sprint",0.5535,0.4465,0.0361419066271324,-0.220729682145752
"ForearmC.Hrs_Total","ForearmC","Hrs_Total","F","m2","climb","run","climb_vs_run",0.131625,0.868375,0.762725736020122,-0.363577418336303
"ForearmC.Hrs_Total","ForearmC","Hrs_Total","F","m2","climb","walk","climb_vs_walk",0.1608125,0.8391875,0.762725736020122,-0.367395654576556
"ForearmC.Hrs_Total","ForearmC","Hrs_Total","F","m2","climb","sprint","climb_vs_sprint",0.8833125,0.1166875,0.762725736020122,0.356390773493833
"ForearmC.Hrs_Total","ForearmC","Hrs_Total","M","m2","climb","run","climb_vs_run",0.62575,0.37425,-0.0794383338875906,-1.53326915540285
"ForearmC.Hrs_Total","ForearmC","Hrs_Total","M","m2","climb","walk","climb_vs_walk",0.62575,0.37425,-0.0794383338875906,-1.34693459214654
"ForearmC.Hrs_Total","ForearmC","Hrs_Total","M","m2","climb","sprint","climb_vs_sprint",0.6705625,0.3294375,-0.0794383338875906,-0.327183211376832
"ForearmC.ForearmL.Hrs_Total","ForearmC","ForearmL.Hrs_Total","F","m2","climb","run","climb_vs_run",0.0870625,0.9129375,0.79070716396263,-0.43187146253434
"ForearmC.ForearmL.Hrs_Total","ForearmC","ForearmL.Hrs_Total","F","m2","climb","walk","climb_vs_walk",0.1273125,0.8726875,0.79070716396263,-0.410176481104228
"ForearmC.ForearmL.Hrs_Total","ForearmC","ForearmL.Hrs_Total","F","m2","climb","sprint","climb_vs_sprint",0.8665,0.1335,0.79070716396263,0.317000458019661
"ForearmC.ForearmL.Hrs_Total","ForearmC","ForearmL.Hrs_Total","M","m2","climb","run","climb_vs_run",0.6235625,0.3764375,-0.0801516048611098,-1.5326425282263
"ForearmC.ForearmL.Hrs_Total","ForearmC","ForearmL.Hrs_Total","M","m2","climb","walk","climb_vs_walk",0.623625,0.376375,-0.0801516048611098,-1.34196181952733
"ForearmC.ForearmL.Hrs_Total","ForearmC","ForearmL.Hrs_Total","M","m2","climb","sprint","climb_vs_sprint",0.672,0.328,-0.0801516048611098,-0.32858341998144
